job_id,skill_abr
3887466954,IT
3884432522,FIN
3884432522,SALE
3887468932,IT
3887473578,ENG
3887473578,IT
3887473578,CNSL
3884431580,IT
3887470918,IT
3887472904,IT
3884426975,IT
3884917043,ENG
3884434198,OTHR
3827945924,ENG
3827945924,IT
3884915616,IT
3887488946,ANLS
3887488946,IT
3884436679,ENG
3884436679,IT
3884437311,ENG
3884435766,IT
3884435766,ENG
3887478902,OTHR
3887475434,ENG
3884924051,IT
3887499080,IT
3884919744,IT
3884435224,IT
3884434664,IT
3884441054,ANLS
3884917966,ENG
3884917966,IT
3887700707,PRJM
3887700707,IT
3887499275,ACCT
3887499275,FIN
3884436863,IT
3884432812,IT
3884430958,ADVR
3884437436,ENG
3884440937,RSCH
3884440937,ENG
3884444422,FIN
3887492692,ENG
3887492692,IT
3887705985,ENG
3887497535,ENG
3887497535,IT
3887710955,ENG
3887710955,IT
3884440505,IT
3884440844,MGMT
3884440844,MNFC
3887499161,BD
3887499161,SALE
3884438958,IT
3884436740,MGMT
3884436740,MNFC
3884925055,IT
3887718042,ADM
3884435309,ENG
3884435309,IT
3884434262,IT
3884435156,IT
3884435156,ANLS
3887716431,ENG
3884801458,IT
3884439345,ENG
3884996001,ENG
3884996001,IT
3884441553,IT
3884444407,ENG
3884444407,IT
3887713726,ENG
3887713726,IT
3884441052,IT
3884431437,ENG
3884431437,IT
3887499893,IT
3884440568,IT
3887716629,ENG
3884805078,IT
3884805078,ENG
3884434877,SCI
3884434877,RSCH
3884443182,RSCH
3884443182,SCI
3884443182,ENG
3887834531,EDU
3887834531,TRNG
3884996017,IT
3884996017,CNSL
3884996017,ENG
3885806697,ENG
3885806697,IT
3884445414,IT
3884437640,IT
3884437640,ENG
3885808490,ENG
3885808490,IT
3887710459,ENG
3887710459,IT
3884436924,IT
3884804043,IT
3884804043,ENG
3887839233,ANLS
3884437721,ENG
3884437721,IT
3884438451,IT
3885807498,ENG
3885807498,IT
3885809458,ENG
3885809458,IT
3885805688,ENG
3885805688,IT
3884439454,IT
3885807502,ENG
3885807502,IT
3885808496,ENG
3885808496,IT
3884809199,ENG
3885809457,ENG
3885809457,IT
3885810356,ENG
3885810356,IT
3885809468,ENG
3885809468,IT
3884989874,IT
3885809473,ENG
3885809473,IT
3885806690,ENG
3885806690,IT
3884930756,IT
3885811236,ENG
3885811236,IT
3884442268,RSCH
3884442268,SCI
3884442268,ENG
3885807496,ENG
3885807496,IT
3884428490,MGMT
3884428490,MNFC
3887704152,ENG
3887704152,IT
3885807506,ENG
3885807506,IT
3885808501,ENG
3885808501,IT
3885812237,ENG
3885812237,IT
3887704948,IT
3885814035,IT
3887716890,BD
3887716890,SALE
3884430666,ENG
3884430666,IT
3885811837,IT
3887480437,ANLS
3887480437,IT
3887480437,RSCH
3885805682,ENG
3885805682,IT
3885815073,ENG
3885815073,IT
3884821376,IT
3887840211,IT
3885811432,IT
3887717244,IT
3887862021,IT
3885806686,ENG
3885806686,IT
3884438511,DSGN
3884438511,ENG
3884438511,RSCH
3884816373,ENG
3884816373,IT
3884824082,ENG
3884824082,IT
